**Header1 Sampling Parameters**
TraceFile	C:\Guilherme\Medida 1112_1530_1_cdifusor.dat
Comment	
Date	1/1/2015
Time	04:12:37
File Created By	CDI Spec32.exe
Software Version	1,7,2,2
Username	LAS
Computername	NOTE-CESAR
DeviceNum	0	
SerialNo	SNAB0829	
SetupFile	C:\CDI32\SETUP _63355_FIB2_COMDIF.stp
BoardDegC	45.6988	
ArrayDegC	8.19174	
TECA	0.473633	
ExtV	-5.87592	
DacOffset	93171.9	
IntTime	0.499973	
Processing	none	
CalUnits	uwatts / cm² / nm	
TrigMode	TM_SynchRead	
SampleAvg	1	
Scans Averaged	1	
WaveUnits	nm	
WaveStart	899	
WaveEnd	1703.35	
WaveStep	1	
**HeaderEnd**
899	28.86314	
900	29.01693	
901	29.17072	
902	29.32451	
903	29.4783	
904	29.63209	
905	29.73065	
906	29.65623	
907	29.5818	
908	29.50738	
909	29.43296	
910	29.35853	
911	29.28411	
912	29.40719	
913	29.56874	
914	29.73029	
915	29.89183	
916	30.05338	
917	30.21493	
918	30.36131	
919	30.48792	
920	30.61452	
921	30.74113	
922	30.86773	
923	30.99434	
924	31.07394	
925	29.68456	
926	28.29518	
927	26.9058	
928	25.51642	
929	24.12704	
930	22.73766	
931	21.44946	
932	20.22094	
933	18.99242	
934	17.7639	
935	16.53539	
936	15.30687	
937	14.42025	
938	14.69114	
939	14.96203	
940	15.23292	
941	15.50381	
942	15.7747	
943	16.04559	
944	16.16368	
945	16.25004	
946	16.33639	
947	16.42275	
948	16.5091	
949	16.59546	
950	16.78889	
951	17.12425	
952	17.45962	
953	17.79498	
954	18.13034	
955	18.46571	
956	18.81196	
957	19.48764	
958	20.16333	
959	20.83902	
960	21.51471	
961	22.1904	
962	22.86609	
963	23.81499	
964	24.92027	
965	26.02555	
966	27.13083	
967	28.2361	
968	29.34138	
969	30.30016	
970	30.79501	
971	31.28985	
972	31.78469	
973	32.27954	
974	32.77438	
975	33.26923	
976	33.65628	
977	34.02372	
978	34.39115	
979	34.75858	
980	35.12601	
981	35.49345	
982	35.9868	
983	36.63279	
984	37.27879	
985	37.92478	
986	38.57077	
987	39.21677	
988	39.83783	
989	40.06821	
990	40.2986	
991	40.52899	
992	40.75938	
993	40.98977	
994	41.22016	
995	41.3002	
996	41.30585	
997	41.31151	
998	41.31716	
999	41.32281	
1000	41.32847	
1001	41.29723	
1002	41.17062	
1003	41.04402	
1004	40.91741	
1005	40.79081	
1006	40.66421	
1007	40.5376	
1008	40.5248	
1009	40.52605	
1010	40.52731	
